formula,tool,exit_status,exit_code,time,states,edges,transitions,acc,scc,nondet_states,nondet_aut,complete_aut,automaton
G(a),yes.seminator#def,ok,0,0.00972983,1,1,1,1,1,0,0,0,"HOA: v1 name: ""sDBA for Ga"" States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [0] 0 --END--"
G(a),yes.owl#s,ok,0,0.00789838,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [0] 0 --END--"
G(a),no.owl#s,ok,0,0.00320848,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic --BODY-- State: 0 {0} [0] 0 --END--"
G(a),yes.owl#a,ok,0,0.00649886,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic very-weak --BODY-- State: 0 {0} [0] 0 --END--"
G(a),no.owl#a,ok,0,0.000942471,1,1,1,1,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic --BODY-- State: 0 {0} [0] 0 --END--"
(a) U (b),yes.seminator#def,ok,0,0.0109722,2,3,7,1,2,0,0,0,"HOA: v1 name: ""sDBA for a U b"" States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [1] 0 [0&!1] 1 --END--"
(a) U (b),yes.owl#s,ok,0,0.00824274,2,3,7,1,2,0,0,0,"HOA: v1 States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [1] 0 [0&!1] 1 --END--"
(a) U (b),no.owl#s,ok,0,0.00119543,2,3,7,1,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&!1] 0 [1] 1 {0} State: 1 [t] 1 {0} --END--"
(a) U (b),yes.owl#a,ok,0,0.00630914,2,3,7,1,2,0,0,0,"HOA: v1 States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [1] 0 [0&!1] 1 --END--"
(a) U (b),no.owl#a,ok,0,0.00264725,2,3,7,1,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&!1] 0 [1] 1 {0} State: 1 [t] 1 {0} --END--"
((!(a)) | (G(b))) U ((a) & ((!(a)) | (G(b)))),yes.seminator#def,ok,0,0.00799591,2,3,5,1,2,0,0,0,"HOA: v1 name: ""sDBA for a M (!a | Gb)"" States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [1] 0 State: 1 [0&1] 0 [!0] 1 --END--"
((!(a)) | (G(b))) U ((a) & ((!(a)) | (G(b)))),yes.owl#s,ok,0,0.0107927,2,3,5,1,2,0,0,0,"HOA: v1 States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [1] 0 State: 1 [0&1] 0 [!0] 1 --END--"
((!(a)) | (G(b))) U ((a) & ((!(a)) | (G(b)))),no.owl#s,ok,0,0.00207803,2,3,5,1,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&1] 1 {0} [!0] 0 State: 1 [1] 1 {0} --END--"
((!(a)) | (G(b))) U ((a) & ((!(a)) | (G(b)))),yes.owl#a,ok,0,0.00826165,2,3,5,1,2,0,0,0,"HOA: v1 States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [1] 0 State: 1 [0&1] 0 [!0] 1 --END--"
((!(a)) | (G(b))) U ((a) & ((!(a)) | (G(b)))),no.owl#a,ok,0,0.00257167,4,7,10,1,4,1,1,0,"HOA: v1 States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0&1] 1 {0} [!0&1] 3 [!0] 0 State: 1 [1] 1 {0} State: 2 [1] 2 {0} State: 3 [0&1] 2 {0} [!0&1] 3 --END--"
F((a) & (!(b)) & ((c) U (b))),yes.seminator#def,ok,0,0.00785285,3,6,24,1,2,0,0,1,"HOA: v1 name: ""sDBA for F(a & !b & (c U b))"" States: 3 Start: 1 AP: 3 ""c"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!0 | 1 | !2] 1 [0&!1&2] 2 State: 2 [1] 0 [!0&!1] 1 [0&!1] 2 --END--"
F((a) & (!(b)) & ((c) U (b))),yes.owl#s,ok,0,0.00709673,3,6,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 1 AP: 3 ""c"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!0 | 1 | !2] 1 [0&!1&2] 2 State: 2 [1] 0 [!0&!1] 1 [0&!1] 2 --END--"
F((a) & (!(b)) & ((c) U (b))),no.owl#s,ok,0,0.00189665,3,6,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 3 ""c"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | 1 | !2] 0 [0&!1&2] 2 State: 1 [t] 1 {0} State: 2 [1] 1 {0} [!0&!1] 0 [0&!1] 2 --END--"
F((a) & (!(b)) & ((c) U (b))),yes.owl#a,ok,0,0.00864252,3,6,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 1 AP: 3 ""c"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!0 | 1 | !2] 1 [0&!1&2] 2 State: 2 [1] 0 [!0&!1] 1 [0&!1] 2 --END--"
F((a) & (!(b)) & ((c) U (b))),no.owl#a,ok,0,0.00128371,3,6,24,1,2,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 3 ""c"" ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0 | 1 | !2] 0 [0&!1&2] 2 State: 1 [t] 1 {0} State: 2 [1] 1 {0} [!0&!1] 0 [0&!1] 2 --END--"
F((a) & (F((!(a)) & (F((a) & (F((!(a)) & (F(a))))))))),yes.seminator#def,ok,0,0.0080041,6,11,12,1,6,0,0,1,"HOA: v1 name: ""sDBA for F(a & F(!a & F(a & F(!a & Fa))))"" States: 6 Start: 4 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 State: 2 [!0] 1 [0] 2 State: 3 [0] 2 [!0] 3 State: 4 [!0] 4 [0] 5 State: 5 [!0] 3 [0] 5 --END--"
F((a) & (F((!(a)) & (F((a) & (F((!(a)) & (F(a))))))))),yes.owl#s,ok,0,0.00708744,6,11,12,1,6,0,0,1,"HOA: v1 States: 6 Start: 4 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 State: 2 [!0] 1 [0] 2 State: 3 [0] 2 [!0] 3 State: 4 [!0] 4 [0] 5 State: 5 [!0] 3 [0] 5 --END--"
F((a) & (F((!(a)) & (F((a) & (F((!(a)) & (F(a))))))))),no.owl#s,ok,0,0.00188139,6,11,12,1,6,0,0,1,"HOA: v1 States: 6 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 1 [!0] 0 State: 1 [0] 1 [!0] 5 State: 2 [!0] 3 [0] 2 State: 3 [!0] 3 [0] 4 {0} State: 4 [t] 4 {0} State: 5 [!0] 5 [0] 2 --END--"
F((a) & (F((!(a)) & (F((a) & (F((!(a)) & (F(a))))))))),yes.owl#a,ok,0,0.00930096,6,11,12,1,6,0,0,1,"HOA: v1 States: 6 Start: 4 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 State: 2 [!0] 1 [0] 2 State: 3 [0] 2 [!0] 3 State: 4 [!0] 4 [0] 5 State: 5 [!0] 3 [0] 5 --END--"
F((a) & (F((!(a)) & (F((a) & (F((!(a)) & (F(a))))))))),no.owl#a,ok,0,0.00138311,6,11,12,1,6,0,0,1,"HOA: v1 States: 6 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 1 [!0] 0 State: 1 [0] 1 [!0] 3 State: 2 [t] 2 {0} State: 3 [!0] 3 [0] 4 State: 4 [!0] 5 [0] 4 State: 5 [!0] 5 [0] 2 {0} --END--"
(F(a)) & (((a) | (b)) R (((a) | (!(b))) R (((a) | (b)) R (((a) | (!(b))) R ((b) R (!(a))))))),yes.seminator#def,ok,0,0.010079,7,13,18,1,7,0,0,0,"HOA: v1 name: ""sDBA for Fa & ((a | b) R ((a | !b) R ((a | b) R ((a | !b) R (b R !a)))))"" States: 7 Start: 5 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 State: 2 [!0&1] 1 [!0&!1] 2 State: 3 [!0&!1] 2 [!0&1] 3 State: 4 [!0&1] 3 [!0&!1] 4 State: 5 [!0&!1] 5 [!0&1] 6 State: 6 [!0&!1] 4 [!0&1] 6 --END--"
(F(a)) & (((a) | (b)) R (((a) | (!(b))) R (((a) | (b)) R (((a) | (!(b))) R ((b) R (!(a))))))),yes.owl#s,ok,0,0.00817526,7,13,18,1,7,0,0,0,"HOA: v1 States: 7 Start: 5 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 State: 2 [!0&1] 1 [!0&!1] 2 State: 3 [!0&!1] 2 [!0&1] 3 State: 4 [!0&1] 3 [!0&!1] 4 State: 5 [!0&!1] 5 [!0&1] 6 State: 6 [!0&!1] 4 [!0&1] 6 --END--"
(F(a)) & (((a) | (b)) R (((a) | (!(b))) R (((a) | (b)) R (((a) | (!(b))) R ((b) R (!(a))))))),no.owl#s,ok,0,0.00227529,7,13,18,1,7,0,0,0,"HOA: v1 States: 7 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [!0&!1] 0 [!0&1] 1 State: 1 [!0&!1] 2 [!0&1] 1 State: 2 [!0&1] 3 [!0&!1] 2 State: 3 [!0&1] 3 [!0&!1] 4 State: 4 [!0&1] 5 [!0&!1] 4 State: 5 [0] 6 {0} [!0] 5 State: 6 [t] 6 {0} --END--"
(F(a)) & (((a) | (b)) R (((a) | (!(b))) R (((a) | (b)) R (((a) | (!(b))) R ((b) R (!(a))))))),yes.owl#a,ok,0,0.00846574,7,13,18,1,7,0,0,0,"HOA: v1 States: 7 Start: 5 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 [!0] 1 State: 2 [!0&1] 1 [!0&!1] 2 State: 3 [!0&!1] 2 [!0&1] 3 State: 4 [!0&1] 3 [!0&!1] 4 State: 5 [!0&!1] 5 [!0&1] 6 State: 6 [!0&!1] 4 [!0&1] 6 --END--"
